epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,285279,1.67666,1.26741,1.25276,0.42908,0.28131,0.27298,0.10734,2.37901,1.748,1.13318,0.004687,0.004687,0.004687
163,287042,1.64106,1.24919,1.23946,0.42413,0.27933,0.27179,0.10734,2.38067,1.74844,1.13379,0.004654,0.004654,0.004654
164,288798,1.65747,1.25902,1.24654,0.42612,0.27933,0.27123,0.10695,2.38156,1.74829,1.13384,0.004621,0.004621,0.004621
165,290558,1.65937,1.2581,1.23936,0.42883,0.27933,0.2719,0.10673,2.38318,1.74845,1.13403,0.004588,0.004588,0.004588
166,292328,1.66541,1.25825,1.23923,0.42612,0.27933,0.27203,0.10649,2.38433,1.74884,1.13428,0.004555,0.004555,0.004555
167,294102,1.67262,1.25819,1.24371,0.42263,0.27933,0.27139,0.10664,2.38533,1.74983,1.13436,0.004522,0.004522,0.004522
168,295874,1.64602,1.23982,1.2392,0.42033,0.27933,0.27113,0.10578,2.38565,1.74977,1.13431,0.004489,0.004489,0.004489
169,297636,1.66313,1.24472,1.24035,0.41582,0.27933,0.2708,0.10597,2.38551,1.74961,1.13395,0.004456,0.004456,0.004456
170,299404,1.65932,1.24493,1.2356,0.41833,0.27933,0.27015,0.106,2.38508,1.75035,1.13377,0.004423,0.004423,0.004423
171,301209,1.64075,1.22698,1.23425,0.41437,0.27793,0.26811,0.10583,2.38585,1.75072,1.1337,0.00439,0.00439,0.00439
172,302975,1.64118,1.23641,1.23636,0.41833,0.27793,0.26828,0.10578,2.38906,1.75192,1.1344,0.004357,0.004357,0.004357
173,304734,1.6398,1.22078,1.2282,0.41999,0.27793,0.26801,0.10568,2.39192,1.75236,1.13478,0.004324,0.004324,0.004324
174,306491,1.65132,1.23725,1.23659,0.42236,0.27793,0.26783,0.10559,2.39323,1.75215,1.1349,0.004291,0.004291,0.004291
175,308250,1.64551,1.23356,1.23505,0.4301,0.27654,0.26799,0.1054,2.39391,1.75156,1.13504,0.004258,0.004258,0.004258
176,310016,1.63487,1.21784,1.2383,0.42979,0.27654,0.26856,0.10538,2.3952,1.75096,1.13517,0.004225,0.004225,0.004225
177,311775,1.63864,1.22408,1.239,0.42843,0.27514,0.26724,0.10529,2.39525,1.75027,1.13534,0.004192,0.004192,0.004192
178,313532,1.62524,1.22711,1.23769,0.42859,0.27374,0.26687,0.10536,2.39653,1.75077,1.13585,0.004159,0.004159,0.004159
179,315292,1.62939,1.21879,1.23283,0.42996,0.27235,0.26572,0.10488,2.39758,1.75146,1.13625,0.004126,0.004126,0.004126
180,317047,1.62322,1.19441,1.21942,0.43179,0.27374,0.26663,0.10505,2.39913,1.75218,1.13696,0.004093,0.004093,0.004093
181,318814,1.62139,1.19993,1.21943,0.43175,0.27374,0.26631,0.10507,2.40072,1.75298,1.13753,0.00406,0.00406,0.00406
182,320575,1.63615,1.19786,1.22498,0.4275,0.27095,0.26466,0.10485,2.4016,1.75317,1.13785,0.004027,0.004027,0.004027
183,322330,1.63253,1.20883,1.22312,0.43226,0.27095,0.26459,0.10432,2.40254,1.75308,1.1381,0.003994,0.003994,0.003994
